inventory_id,product_id,warehouse_id,on_hand,reserved,available,reorder_point,last_stock_count,qty_on_order,reorder_status
INV00001,P00001,WH-AVL,209,65,144,74,2026-01-23,0,Not Required
INV00002,P00001,WH-HKY,296,19,277,67,2026-03-06,0,Not Required
INV00003,P00002,WH-CLT,358,29,329,16,2026-05-14,0,Not Required
INV00004,P00002,WH-GVL,138,19,119,21,2026-02-28,0,Not Required
INV00005,P00003,WH-HKY,312,4,308,97,2026-03-06,0,Not Required
INV00006,P00003,WH-AVL,266,14,252,17,2026-05-31,0,Not Required
INV00007,P00003,WH-GVL,99,51,48,49,2026-03-19,52,On Order
INV00008,P00004,WH-HKY,306,15,291,109,2026-05-30,0,Not Required
INV00009,P00004,WH-CLT,3,0,3,17,2026-03-19,192,On Order
INV00010,P00005,WH-CLT,194,34,160,71,2026-01-12,0,Not Required
INV00011,P00005,WH-GVL,411,69,342,17,2026-04-30,0,Not Required
INV00012,P00006,WH-HKY,204,28,176,81,2026-03-09,0,Not Required
INV00013,P00006,WH-AVL,105,73,32,15,2026-02-14,0,Not Required
INV00014,P00007,WH-AVL,142,26,116,38,2026-03-17,0,Not Required
INV00015,P00007,WH-CLT,253,13,240,75,2026-01-15,0,Not Required
INV00016,P00008,WH-GVL,208,41,167,38,2026-05-09,0,Not Required
INV00017,P00008,WH-HKY,340,54,286,63,2026-01-25,0,Not Required
INV00018,P00008,WH-AVL,134,25,109,120,2026-04-24,81,On Order
INV00019,P00009,WH-HKY,472,55,417,68,2026-01-02,0,Not Required
INV00020,P00010,WH-CLT,363,67,296,95,2026-03-17,0,Not Required
INV00021,P00010,WH-GVL,157,60,97,105,2026-02-11,119,On Order
INV00022,P00010,WH-HKY,484,28,456,79,2026-01-22,0,Not Required
INV00023,P00011,WH-GVL,306,3,303,40,2026-02-08,0,Not Required
INV00024,P00012,WH-AVL,80,13,67,43,2026-04-15,0,Not Required
INV00025,P00012,WH-HKY,252,9,243,61,2026-01-12,0,Not Required
INV00026,P00013,WH-CLT,287,14,273,60,2026-02-23,0,Not Required
INV00027,P00013,WH-HKY,23,8,15,22,2026-04-08,181,On Order
INV00028,P00014,WH-CLT,142,55,87,95,2026-03-02,66,On Order
INV00029,P00014,WH-GVL,6,5,1,28,2026-05-15,122,On Order
INV00030,P00014,WH-AVL,400,63,337,38,2026-03-08,0,Not Required
INV00031,P00015,WH-GVL,455,26,429,104,2026-03-11,0,Not Required
INV00032,P00015,WH-AVL,449,22,427,110,2026-01-12,0,Not Required
INV00033,P00016,WH-GVL,271,29,242,111,2026-03-29,0,Not Required
INV00034,P00016,WH-HKY,336,1,335,18,2026-01-24,0,Not Required
INV00035,P00017,WH-AVL,485,76,409,88,2026-01-24,0,Not Required
INV00036,P00017,WH-HKY,236,9,227,52,2026-05-02,0,Not Required
INV00037,P00018,WH-HKY,64,49,15,85,2026-06-07,138,On Order
INV00038,P00018,WH-AVL,74,72,2,36,2026-03-10,163,On Order
INV00039,P00018,WH-CLT,162,66,96,111,2026-02-03,71,On Order
