order_item_id,order_id,product_id,quantity,unit_price,discount_rate,line_total
OI0000001-1,O0000001,P00123,4,127.18,0.1,457.85
OI0000002-1,O0000002,P00115,4,30.25,0,121.0
OI0000003-1,O0000003,P00155,4,589.47,0.1,2122.09
OI0000003-2,O0000003,P00089,2,322.62,0.15,548.45
OI0000003-3,O0000003,P00136,1,24.95,0,24.95
OI0000003-4,O0000003,P00046,4,338.54,0,1354.16
OI0000003-5,O0000003,P00233,1,334.8,0,334.8
OI0000003-6,O0000003,P00091,1,58.96,0.1,53.06
OI0000004-1,O0000004,P00127,1,543.7,0.15,462.15
OI0000004-2,O0000004,P00099,1,545.66,0.05,518.38
OI0000004-3,O0000004,P00154,1,670.02,0,670.02
OI0000005-1,O0000005,P00211,2,392.42,0.05,745.6
OI0000005-2,O0000005,P00195,1,341.87,0,341.87
OI0000006-1,O0000006,P00194,2,230.27,0,460.54
OI0000007-1,O0000007,P00220,4,266.01,0,1064.04
OI0000007-2,O0000007,P00081,1,299.2,0,299.2
OI0000007-3,O0000007,P00162,3,436.66,0,1309.98
OI0000008-1,O0000008,P00064,3,48.59,0.15,123.9
OI0000008-2,O0000008,P00214,3,86.45,0.15,220.45
OI0000008-3,O0000008,P00017,2,422.6,0,845.2
OI0000008-4,O0000008,P00173,1,534.3,0.05,507.58
OI0000009-1,O0000009,P00060,3,552.88,0.15,1409.84
OI0000010-1,O0000010,P00072,1,92.45,0,92.45
OI0000010-2,O0000010,P00018,4,206.42,0.15,701.83
OI0000011-1,O0000011,P00088,3,318.05,0.05,906.44
OI0000011-2,O0000011,P00212,2,140.61,0,281.22
OI0000011-3,O0000011,P00230,4,464.16,0.1,1670.98
OI0000011-4,O0000011,P00031,1,587.52,0.15,499.39
OI0000011-5,O0000011,P00085,3,220.54,0.1,595.46
OI0000012-1,O0000012,P00138,3,291.59,0.15,743.55
OI0000012-2,O0000012,P00214,4,86.45,0.05,328.51
OI0000012-3,O0000012,P00154,4,670.02,0,2680.08
OI0000012-4,O0000012,P00149,4,579.48,0,2317.92
OI0000012-5,O0000012,P00126,3,180.97,0.15,461.47
OI0000013-1,O0000013,P00015,2,389.15,0.1,700.47
OI0000013-2,O0000013,P00009,1,79.4,0.15,67.49
