order_id,customer_id,employee_id,order_date,channel,status,subtotal,tax,shipping,total,region
O0000001,C000714,E0024,2025-04-26T16:40:17,Retail Store,Completed,457.85,43.5,0.0,501.35,Piedmont
O0000002,C001823,E0014,2025-09-15T17:53:43,Retail Store,Completed,121.0,8.47,0.0,129.47,Appalachian
O0000003,C000353,E0040,2025-10-10T22:07:23,Marketplace,Completed,4437.51,310.63,0.0,4748.14,Smoky Mountains
O0000004,C002200,E0030,2025-02-07T11:09:44,Retail Store,Completed,1650.55,132.04,0.0,1782.59,Blue Ridge
O0000005,C002154,E0019,2025-09-12T13:51:10,Retail Store,Completed,1087.47,76.12,0.0,1163.59,Appalachian
O0000006,C000668,E0026,2025-07-15T19:52:03,Online,Completed,460.54,36.84,0.0,497.38,Foothills
O0000007,C002095,E0017,2025-08-29T08:29:23,Retail Store,Completed,2673.22,213.86,0.0,2887.08,Foothills
O0000008,C000252,E0048,2025-08-30T18:25:56,Online,Completed,1697.13,135.77,0.0,1832.9,Foothills
O0000009,C002571,E0030,2025-09-04T13:26:40,Phone,Completed,1409.84,98.69,0.0,1508.53,Smoky Mountains
O0000010,C001077,E0058,2025-09-07T22:35:22,Online,Completed,794.28,55.6,0.0,849.88,Appalachian
O0000011,C001801,E0042,2025-07-05T22:50:37,Marketplace,Completed,3953.49,225.35,0.0,4178.84,Piedmont
O0000012,C001820,E0043,2025-12-14T10:39:04,Phone,Completed,6531.53,522.52,0.0,7054.05,Coastal
O0000013,C001009,E0020,2025-09-20T22:08:24,Online,Completed,767.96,72.96,0.0,840.92,Piedmont
O0000014,C000911,E0043,2025-01-30T12:40:58,Phone,Completed,2373.15,225.45,0.0,2598.6,Blue Ridge
O0000015,C000994,E0009,2025-05-19T22:02:00,Online,Completed,1553.01,108.71,0.0,1661.72,Blue Ridge
O0000016,C002066,E0018,2025-09-14T17:56:35,Retail Store,Completed,1397.44,79.65,0.0,1477.09,Smoky Mountains
O0000017,C001269,E0043,2025-01-27T09:40:15,Marketplace,Completed,1023.29,81.86,0.0,1105.15,Blue Ridge
O0000018,C001372,E0041,2025-10-21T09:50:32,Phone,Completed,358.99,20.46,0.0,379.45,Blue Ridge
O0000019,C000168,E0043,2025-03-09T16:09:20,Phone,Completed,1677.36,134.19,0.0,1811.55,Smoky Mountains
O0000020,C001895,E0008,2025-10-30T11:38:54,Online,Completed,747.85,52.35,0.0,800.2,Appalachian
O0000021,C001892,E0003,2025-02-25T18:50:12,Marketplace,Completed,2914.65,204.03,0.0,3118.68,Blue Ridge
O0000022,C001151,E0028,2025-06-09T10:27:28,Retail Store,Cancelled,572.11,40.05,0.0,612.16,Piedmont
O0000023,C000352,E0054,2025-01-09T19:57:04,Retail Store,Completed,1356.6,94.96,0.0,1451.56,Smoky Mountains
O0000024,C002141,E0001,2025-01-16T08:29:47,Online,Completed,3176.76,254.14,0.0,3430.9,Smoky Mountains
O0000025,C001449,E0046,2025-09-25T11:04:35,Marketplace,Returned,3281.53,187.05,0.0,3468.58,Blue Ridge
O0000026,C001368,E0009,2025-08-21T12:16:16,Phone,Completed,3872.66,271.09,0.0,4143.75,Coastal
O0000027,C000514,E0026,2025-08-21T13:31:07,Retail Store,Completed,2695.92,188.71,0.0,2884.63,Coastal
O0000028,C001601,E0014,2025-01-11T02:01:06,Online,Completed,3375.42,236.28,0.0,3611.7,Blue Ridge
O0000029,C001374,E0060,2025-04-29T17:27:42,Retail Store,Completed,1618.63,129.49,0.0,1748.12,Foothills
O0000030,C001142,E0026,2025-07-31T17:59:55,Marketplace,Completed,2143.18,203.6,0.0,2346.78,Piedmont
O0000031,C000375,E0045,2025-07-03T20:44:53,Online,Completed,283.84,19.87,0.0,303.71,Coastal
O0000032,C001493,E0006,2025-01-08T16:45:10,Phone,Completed,4196.0,293.72,0.0,4489.72,Piedmont
O0000033,C001369,E0051,2025-12-06T10:22:10,Marketplace,Returned,3531.36,282.51,0.0,3813.87,Appalachian
O0000034,C002228,E0008,2025-08-21T17:47:40,Retail Store,Completed,735.76,51.5,0.0,787.26,Blue Ridge
O0000035,C000973,E0007,2025-06-18T09:29:59,Online,Completed,539.65,37.78,0.0,577.43,Blue Ridge
O0000036,C000730,E0022,2025-01-26T23:09:23,Marketplace,Completed,316.76,30.09,0.0,346.85,Smoky Mountains
O0000037,C000944,E0042,2025-09-16T22:37:09,Online,Completed,651.64,45.61,0.0,697.25,Appalachian
O0000038,C000100,E0046,2025-11-07T07:42:47,Online,Completed,506.03,40.48,0.0,546.51,Appalachian
O0000039,C000714,E0030,2025-04-16T17:34:41,Online,Completed,2712.06,257.65,0.0,2969.71,Piedmont
O0000040,C001178,E0007,2025-03-09T16:32:42,Phone,Completed,460.54,43.75,0.0,504.29,Coastal
O0000041,C001917,E0009,2025-12-21T13:29:45,Phone,Returned,2875.13,201.26,0.0,3076.39,Blue Ridge
O0000042,C001355,E0001,2025-06-04T18:11:35,Marketplace,Completed,30.25,2.42,8.95,41.62,Appalachian
O0000043,C001870,E0059,2025-12-05T11:54:08,Online,Completed,2227.03,178.16,0.0,2405.19,Foothills
O0000044,C002566,E0059,2025-05-23T12:24:17,Retail Store,Completed,2952.75,236.22,0.0,3188.97,Piedmont
O0000045,C001857,E0040,2025-06-04T09:18:12,Retail Store,Completed,1973.57,138.15,0.0,2111.72,Piedmont
O0000046,C002304,E0022,2025-03-20T12:00:30,Online,Completed,909.36,51.83,0.0,961.19,Smoky Mountains
O0000047,C001940,E0020,2025-07-28T09:09:52,Phone,Returned,2654.01,252.13,0.0,2906.14,Foothills
O0000048,C001357,E0060,2025-06-08T12:23:06,Retail Store,Completed,2780.78,158.5,0.0,2939.28,Coastal
O0000049,C001584,E0051,2025-01-02T09:53:48,Online,Completed,1551.75,147.42,0.0,1699.17,Appalachian
O0000050,C002550,E0039,2025-02-27T21:02:54,Marketplace,Completed,2363.3,165.43,0.0,2528.73,Foothills
O0000051,C002329,E0008,2025-10-04T17:54:09,Marketplace,Completed,4255.74,297.9,0.0,4553.64,Foothills
O0000052,C000673,E0035,2025-11-03T08:44:27,Retail Store,Completed,6590.65,527.25,0.0,7117.9,Blue Ridge
O0000053,C000469,E0039,2025-06-10T20:04:31,Marketplace,Completed,2079.3,118.52,0.0,2197.82,Coastal
O0000054,C002281,E0042,2025-01-13T10:39:06,Phone,Completed,551.56,52.4,0.0,603.96,Smoky Mountains
