event_id	event_time	customer_id	session_id	event_type	product_id	page	device	campaign	session_duration_seconds
EV00000001	2025-06-28T07:45:24	C001997	S002055	product_view	P00108	/shop/trail-safety	mobile	organic	43
EV00000002	2025-12-26T20:48:16	C001950	S003462	page_view	P00240	/shop/sleeping-bags	mobile	direct	14
EV00000003	2025-01-04T21:42:33	C001593	S008644	search	P00107	/search	mobile	email-june	14
EV00000004	2025-06-28T21:54:21	C000326	S000223	page_view	P00171	/	desktop	spring-trail	61
EV00000005	2025-06-30T19:45:00	C002130	S001260	checkout_start	P00051	/checkout	desktop	social-retarget	199
EV00000006	2025-05-24T13:34:28		S002045	page_view	P00181	/shop/outerwear	mobile	email-june	41
EV00000007	2025-11-19T17:26:23	C001398	S002940	add_to_cart	P00126	/shop/climbing-gear	mobile	email-june	17
EV00000008	2025-11-19T22:55:28		S008624	page_view	P00060	/deals	tablet	direct	42
EV00000009	2025-03-03T15:07:03	C001090	S003188	purchase	P00185	/checkout	desktop	direct	665
EV00000010	2025-01-17T15:54:11		S003696	support_click	P00177	/support	mobile	organic	78
EV00000011	2025-01-16T06:39:33	C001930	S000486	page_view	P00133	/shop/climbing-gear	mobile	spring-trail	76
EV00000012	2025-03-16T20:07:18	C000655	S008128	search	P00092	/	mobile	organic	12
EV00000013	2025-05-07T14:21:35		S000606	page_view	P00041	/shop/sleeping-bags	mobile	spring-trail	18
EV00000014	2025-02-07T10:40:11	C000114	S001773	product_view	P00122	/shop/sleeping-bags	mobile	organic	26
EV00000015	2025-02-27T14:19:55	C001738	S000449	support_click	P00155	/support	mobile	email-june	79
EV00000016	2025-09-04T23:30:45	C002412	S002943	page_view	P00102	/shop/hydration	desktop	organic	19
EV00000017	2025-04-03T14:39:05		S001415	page_view	P00156	/shop/hydration	mobile	organic	66
EV00000018	2025-10-07T17:11:35	C000102	S002939	page_view	P00041	/deals	mobile	organic	32
EV00000019	2025-11-08T20:41:13	C000421	S006361	page_view	P00214	/shop/tents	desktop	direct	78
EV00000020	2025-09-04T21:15:24	C000375	S004430	product_view	P00101	/shop/hydration	mobile	direct	181
EV00000021	2025-05-11T13:04:03		S007816	page_view	P00060	/shop/tents	mobile	spring-trail	13
EV00000022	2025-01-18T20:22:09		S002813	page_view	P00060	/shop/sleeping-bags	desktop	direct	16
EV00000023	2025-02-02T22:31:31		S005644	search	P00056	/	desktop	spring-trail	68
EV00000024	2025-10-02T09:07:27	C001187	S005107	page_view	P00128	/	tablet	email-june	19
EV00000025	2025-02-14T12:50:26	C000485	S002679	page_view	P00075	/shop/tents	mobile	spring-trail	29
EV00000026	2025-05-01T19:58:15		S005628	page_view	P00204	/shop/climbing-gear	mobile	partner-guide	19
EV00000027	2025-12-20T22:35:22	C000704	S007411	support_click	P00076	/support	desktop	direct	151
EV00000028	2025-08-30T19:41:41	C000436	S004030	page_view	P00050	/	mobile	spring-trail	19
EV00000029	2025-08-05T23:44:49	C002020	S003457	search	P00144	/search	mobile	social-retarget	24
EV00000030	2025-02-16T15:40:04	C000626	S004573	checkout_start	P00039	/checkout	mobile	social-retarget	109
EV00000031	2025-05-03T08:50:51	C002525	S004843	product_view	P00024	/shop/trail-safety	desktop	spring-trail	166
EV00000032	2025-12-11T15:55:18		S002690	page_view	P00215	/shop/sleeping-bags	desktop	social-retarget	24
EV00000033	2025-04-01T16:03:20	C002089	S006205	page_view	P00060	/shop/sleeping-bags	tablet	social-retarget	47
EV00000034	2025-03-17T16:28:05		S003504	search	P00165	/search	desktop	direct	15
EV00000035	2025-05-04T21:40:19	C001920	S004390	page_view	P00139	/shop/tents	tablet	social-retarget	23
EV00000036	2025-04-15T20:34:04	C000746	S006508	product_view	P00032	/shop/outerwear	tablet	direct	55
EV00000037	2025-10-25T12:42:48	C000143	S002664	add_to_cart	P00213	/shop/climbing-gear	mobile	partner-guide	54
EV00000038	2025-04-23T09:33:51		S008165	add_to_cart	P00149	/shop/sleeping-bags	mobile	social-retarget	36
EV00000039	2025-09-24T07:33:30	C000463	S002224	page_view	P00172	/shop/sleeping-bags	mobile	organic	32
EV00000040	2025-09-07T18:04:08		S001009	page_view	P00028	/shop/tents	tablet	direct	34
EV00000041	2025-05-09T17:11:53	C000173	S001585	page_view	P00159	/shop/outerwear	mobile	email-june	15
EV00000042	2025-12-13T05:01:05	C002546	S002372	page_view	P00209	/deals	desktop	email-june	27
EV00000043	2025-12-28T16:39:33		S001704	product_view	P00225	/shop/outerwear	mobile	organic	68
EV00000044	2025-04-25T08:52:16		S002162	page_view	P00154	/shop/climbing-gear	mobile	partner-guide	20
EV00000045	2025-04-04T22:26:44	C000164	S006358	page_view	P00108	/shop/outerwear	desktop	organic	37
EV00000046	2025-01-06T12:16:16	C002466	S001472	page_view	P00233	/	desktop	organic	46
EV00000047	2025-11-14T10:02:58		S004222	page_view	P00050	/shop/tents	mobile	organic	24
EV00000048	2025-09-01T21:49:41		S002955	product_view	P00043	/shop/climbing-gear	mobile	social-retarget	118
EV00000049	2025-08-18T18:29:37		S004254	page_view	P00191	/shop/climbing-gear	desktop	organic	24
EV00000050	2025-09-23T19:12:55		S006210	product_view	P00149	/shop/trail-safety	mobile	direct	148
EV00000051	2025-03-13T20:39:40		S008716	add_to_cart	P00167	/shop/outerwear	desktop	organic	44
EV00000052	2025-10-26T12:32:15	C000409	S000295	add_to_cart	P00195	/shop/climbing-gear	tablet	direct	128
EV00000053	2025-12-16T16:24:52	C002373	S005743	product_view	P00119	/shop/hydration	mobile	social-retarget	106
EV00000054	2025-08-08T23:57:25	C001543	S001352	support_click	P00096	/support	desktop	organic	311
EV00000055	2025-01-11T15:53:02	C000585	S000643	page_view	P00234	/shop/climbing-gear	tablet	direct	60
EV00000056	2025-03-01T22:05:27		S002203	product_view	P00015	/shop/tents	desktop	email-june	247
EV00000057	2025-10-25T04:24:50	C001336	S001755	search	P00193	/search	desktop	email-june	15
EV00000058	2025-05-28T08:03:45	C001074	S007998	product_view	P00158	/shop/climbing-gear	desktop	direct	58
EV00000059	2025-11-01T22:40:45	C002486	S005474	product_view	P00097	/shop/outerwear	desktop	spring-trail	73
EV00000060	2025-06-04T22:43:05	C001886	S001834	page_view	P00182	/shop/sleeping-bags	mobile	social-retarget	45
EV00000061	2025-11-25T18:47:17		S004431	add_to_cart	P00222	/shop/sleeping-bags	mobile	organic	184
EV00000062	2025-02-22T09:58:33	C001843	S001296	page_view	P00097	/shop/outerwear	desktop	direct	27
EV00000063	2025-08-01T08:31:50	C002101	S004881	product_view	P00017	/shop/trail-safety	mobile	direct	44
EV00000064	2025-09-01T10:23:41	C000440	S004005	search	P00126	/	mobile	social-retarget	12
EV00000065	2025-06-04T21:10:10	C002436	S000991	add_to_cart	P00038	/shop/tents	desktop	organic	70
